region,date,consumption
Bretagne,2019-12-27,2888
Bretagne,2019-12-28,2857
Bretagne,2019-12-29,3023
Bretagne,2019-12-30,3618
Bretagne,2019-12-31,3535
Bretagne,2020-01-01,2844
Bretagne,2020-01-02,3099
Bretagne,2020-01-03,3140
Bretagne,2020-01-04,3139
Bretagne,2020-01-05,3027
Bretagne,2020-01-06,3610
Bretagne,2020-01-07,3341
Bretagne,2020-01-08,3116
Bretagne,2020-01-09,3074
Bretagne,2020-01-10,3241
Bretagne,2020-01-11,3043
Bretagne,2020-01-12,2671
Bretagne,2020-01-13,3270
Bretagne,2020-01-14,3228
Bretagne,2020-01-15,3152
Bretagne,2020-01-16,3266
Bretagne,2020-01-17,3221
Bretagne,2020-01-18,3144
Bretagne,2020-01-19,3110
Bretagne,2020-01-20,3618
Bretagne,2020-01-21,3632
Bretagne,2020-01-22,3810
Bretagne,2020-01-23,3939
Bretagne,2020-01-24,3953
Bretagne,2020-01-25,3414
Bretagne,2020-01-26,2983
Bretagne,2020-01-27,3364
Bretagne,2020-01-28,3610
Bretagne,2020-01-29,3406
Bretagne,2020-01-30,3214
Bretagne,2020-01-31,3105
Bretagne,2020-02-01,2656
Bretagne,2020-02-02,2469
Bretagne,2020-02-03,2954
Bretagne,2020-02-04,3227
Bretagne,2020-02-05,3328
Bretagne,2020-02-06,3432
Bretagne,2020-02-07,3578
Bretagne,2020-02-08,2858
Bretagne,2020-02-09,2776
Bretagne,2020-02-10,3203
Bretagne,2020-02-11,3393
Bretagne,2020-02-12,3442
Bretagne,2020-02-13,3374
Bretagne,2020-02-14,3192
Bretagne,2020-02-15,2764
Bretagne,2020-02-16,2582
Bretagne,2020-02-17,3151
Bretagne,2020-02-18,3303
Bretagne,2020-02-19,3232
Bretagne,2020-02-20,3222
Bretagne,2020-02-21,3368
Bretagne,2020-02-22,2893
Bretagne,2020-02-23,2564
Bretagne,2020-02-24,2954
Bretagne,2020-02-25,3099
Bretagne,2020-02-26,3398
Bretagne,2020-02-27,3243
Bretagne,2020-02-28,3300
Bretagne,2020-02-29,2874
Bretagne,2020-03-01,2867
Bretagne,2020-03-02,3237
Bretagne,2020-03-03,3471
Bretagne,2020-03-04,3338
Bretagne,2020-03-05,3265
Bretagne,2020-03-06,3442
Bretagne,2020-03-07,2955
Bretagne,2020-03-08,2632
Bretagne,2020-03-09,3201
Bretagne,2020-03-10,3100
Bretagne,2020-03-11,2961
Bretagne,2020-03-12,2967
Bretagne,2020-03-13,3139
Bretagne,2020-03-14,2699
Bretagne,2020-03-15,2555
Bretagne,2020-03-16,2909
Bretagne,2020-03-17,2933
Bretagne,2020-03-18,2737
Bretagne,2020-03-19,2618
Bretagne,2020-03-20,2529
Bretagne,2020-03-21,2467
Bretagne,2020-12-22,2905
Bretagne,2020-12-23,2966
Bretagne,2020-12-24,3088
Bretagne,2020-12-25,3047
Bretagne,2020-12-26,3154
Bretagne,2020-12-27,2965
Bretagne,2020-12-28,3507
Bretagne,2020-12-29,3582
Bretagne,2020-12-30,3648
Bretagne,2020-12-31,3517
Bretagne,2021-01-01,3491
Bretagne,2021-01-02,3639
Bretagne,2021-01-03,3556
Bretagne,2021-01-04,4105
Bretagne,2021-01-05,4152
Bretagne,2021-01-06,4197
Bretagne,2021-01-07,4264
Bretagne,2021-01-08,4318
Bretagne,2021-01-09,3957
Bretagne,2021-01-10,3796
Bretagne,2021-01-11,4089
Bretagne,2021-01-12,3699
Bretagne,2021-01-13,3476
Bretagne,2021-01-14,3366
Bretagne,2021-01-15,3541
Bretagne,2021-01-16,3252
Bretagne,2021-01-17,3021
Bretagne,2021-01-18,3625
Bretagne,2021-01-19,3414
Bretagne,2021-01-20,3316
Bretagne,2021-01-21,3535
Bretagne,2021-01-22,3561
Bretagne,2021-01-23,3306
